ID,Education,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Customer_Tenure_Days,Living_With,Children_at_home,Family_Size,Total_Spending,Total_Purchases
5524,Graduate,58138.0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,57,663,Alone,0,1,1617,22
2174,Graduate,46344.0,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,60,113,Alone,2,3,27,4
4141,Graduate,71613.0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,49,312,Partner,0,2,776,20
6182,Graduate,26646.0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,30,139,Partner,1,3,53,6
5324,PhD,58293.0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,33,161,Partner,1,3,422,14
7446,Postgraduate,62513.0,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,47,293,Partner,1,3,716,20
965,Graduate,55635.0,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,43,593,Alone,1,2,590,17
6177,PhD,33454.0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,29,417,Partner,1,3,169,8
4855,PhD,30351.0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,40,388,Partner,1,3,46,5
5899,PhD,5648.0,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,64,108,Partner,2,4,49,1
1994,Graduate,51381.5,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,31,226,Partner,1,3,19,3
387,Undergraduate,7500.0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,38,593,Partner,0,2,61,5
2125,Graduate,63033.0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,55,226,Alone,0,1,1102,15
8180,Postgraduate,59354.0,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,62,226,Alone,2,3,310,12
2569,Graduate,17323.0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,27,627,Partner,0,2,46,4
2114,PhD,82800.0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,68,582,Alone,0,1,1315,25
9736,Graduate,41850.0,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,34,552,Partner,2,4,96,6
4939,Graduate,37760.0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,68,667,Partner,0,2,317,11
6565,Postgraduate,76995.0,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,65,458,Partner,1,3,1782,24
2278,Undergraduate,33812.0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,29,603,Alone,1,2,133,6
9360,Graduate,37040.0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,32,690,Partner,0,2,316,11
5376,Graduate,2447.0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,35,539,Partner,1,3,1730,28
1993,PhD,58607.0,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,65,553,Partner,1,3,972,14
4047,PhD,65324.0,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,60,169,Partner,1,3,544,17
1409,Graduate,40689.0,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,63,468,Partner,1,3,444,13
7892,Graduate,18589.0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,45,543,Alone,0,1,75,6
2404,Graduate,53359.0,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,38,398,Partner,2,4,257,10
5255,Graduate,51381.5,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,28,494,Alone,1,2,637,27
9422,Graduate,38360.0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,25,394,Partner,1,3,131,7
1966,PhD,84618.0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,49,219,Partner,0,2,1672,25
6864,Postgraduate,10979.0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,25,38,Alone,0,1,30,6
3033,Postgraduate,38620.0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,51,414,Partner,0,2,318,10
5710,Graduate,40548.0,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,44,627,Partner,1,3,120,7
7373,PhD,46610.0,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,62,608,Alone,2,3,302,11
8755,Postgraduate,68657.0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,68,494,Partner,0,2,1196,17
10738,Postgraduate,49389.0,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,63,304,Alone,2,3,65,5
4339,PhD,67353.0,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,44,180,Partner,1,3,913,23
10755,Undergraduate,23718.0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,38,300,Partner,1,3,81,6
8595,Graduate,42429.0,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,41,138,Alone,1,2,67,5
2968,PhD,48948.0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,71,513,Alone,0,1,902,22
8601,Graduate,80011.0,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,34,426,Partner,1,3,1395,19
503,Postgraduate,20559.0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,29,474,Partner,1,3,53,5
8430,Graduate,21994.0,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,57,552,Partner,1,3,22,3
7281,PhD,51381.5,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,55,236,Alone,0,1,186,8
2139,Postgraduate,7500.0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,39,270,Partner,1,3,31,5
1371,Graduate,79941.0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,38,1,Alone,0,1,984,15
9909,Undergraduate,7500.0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,18,597,Partner,0,2,122,7
7286,Graduate,41728.0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,46,401,Partner,1,3,55,4
7244,Graduate,51381.5,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,63,179,Alone,3,4,124,7
6566,PhD,72550.0,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,60,598,Partner,2,4,1319,19
8614,Graduate,65486.0,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,57,48,Alone,1,2,507,16
4114,Postgraduate,79143.0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,50,687,Partner,0,2,1693,28
1331,Graduate,35790.0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,37,543,Alone,1,2,72,5
2225,Graduate,82582.0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,37,22,Alone,0,1,1617,20
9381,Graduate,66373.0,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,36,382,Partner,2,4,606,16
6260,Postgraduate,82384.0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,59,587,Partner,0,2,1957,26
10383,Graduate,70287.0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,48,453,Alone,0,1,1093,20
7437,Graduate,27938.0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,26,62,Alone,1,2,29,5
8557,Graduate,51381.5,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,32,377,Alone,1,2,46,5
8375,PhD,55954.0,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,46,118,Partner,1,3,518,16
6853,Postgraduate,75777.0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,32,360,Alone,0,1,1438,20
3076,Graduate,66653.0,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,39,660,Partner,2,4,612,18
1012,Graduate,61823.0,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,62,496,Alone,1,2,884,20
6518,PhD,67680.0,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,63,383,Alone,1,2,606,18
4137,Graduate,70666.0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,66,205,Partner,0,2,1076,15
8082,Graduate,25721.0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,43,404,Partner,1,3,34,4
1386,Graduate,32474.0,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,47,49,Partner,2,4,11,3
9369,Undergraduate,88194.0,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,35,102,Alone,1,2,1274,31
4477,Graduate,69096.0,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,56,275,Partner,1,3,653,17
1357,Graduate,74854.0,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,44,447,Partner,3,5,1562,12
1402,Postgraduate,66991.0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,60,656,Partner,0,2,1253,18
10629,Undergraduate,51381.5,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,41,653,Partner,1,3,109,6
6312,Graduate,65031.0,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,55,469,Partner,1,3,863,26
8132,PhD,60631.0,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,39,450,Partner,2,4,661,19
1050,Graduate,28332.0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,62,60,Partner,0,2,65,7
5846,Graduate,40246.0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,37,557,Alone,1,2,13,3
1859,Postgraduate,75251.0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,42,671,Partner,0,2,1890,18
7503,Graduate,75825.0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,38,625,Alone,0,1,2209,22
10401,Undergraduate,26326.0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,38,298,Partner,0,2,18,3
1618,Graduate,56046.0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,49,543,Partner,0,2,692,19
3332,Graduate,29760.0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,29,669,Alone,1,2,165,8
2261,Graduate,26304.0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,45,371,Partner,1,3,16,3
5346,Undergraduate,23559.0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,41,361,Partner,1,3,79,6
