ID,Education,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Customer_Tenure_Days,Total_Spending,Total_Purchases,Total_Accepted_Campaigns,Children_at_home,Living_With,Family_Size
5524,Graduate,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,69,4928,1617,25,0,0,Alone,1
2174,Graduate,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,72,4378,27,6,0,2,Alone,3
4141,Graduate,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,61,4577,776,21,0,0,Partner,2
6182,Graduate,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,42,4404,53,8,0,1,Partner,3
5324,PhD,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,45,4426,422,19,0,1,Partner,3
7446,Postgraduate,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,59,4558,716,22,0,1,Partner,3
965,Graduate,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,55,4858,590,21,0,1,Alone,2
6177,PhD,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,41,4682,169,10,0,1,Partner,3
4855,PhD,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,52,4653,46,6,0,1,Partner,3
5899,PhD,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,76,4373,49,2,1,2,Partner,4
1994,Graduate,51381.5,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,43,4491,19,4,0,1,Partner,3
387,Undergraduate,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,50,4858,61,6,0,0,Partner,2
2125,Graduate,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,67,4491,1102,16,0,0,Alone,1
8180,Postgraduate,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,74,4491,310,15,0,2,Alone,3
2569,Graduate,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,39,4892,46,5,0,0,Partner,2
2114,PhD,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,80,4847,1315,26,2,0,Alone,1
9736,Graduate,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,46,4817,96,9,0,2,Partner,4
4939,Graduate,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,80,4932,317,13,0,0,Partner,2
6565,Postgraduate,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,77,4723,1782,26,1,1,Partner,3
2278,Undergraduate,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,41,4868,133,8,0,1,Alone,2
9360,Graduate,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,44,4955,316,12,0,0,Partner,2
5376,Graduate,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,47,4804,1730,43,0,1,Partner,3
1993,PhD,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,77,4818,972,17,1,1,Partner,3
4047,PhD,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,72,4434,544,20,0,1,Partner,3
1409,Graduate,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,75,4733,444,20,0,1,Partner,3
7892,Graduate,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,57,4808,75,8,0,0,Alone,1
2404,Graduate,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,50,4663,257,14,0,2,Partner,4
5255,Graduate,51381.5,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,40,4759,637,27,0,1,Alone,2
9422,Graduate,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,37,4659,131,9,0,1,Partner,3
1966,PhD,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,61,4484,1672,26,1,0,Partner,2
6864,Postgraduate,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,37,4303,30,8,0,0,Alone,1
3033,Postgraduate,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,63,4679,318,11,0,0,Partner,2
5710,Graduate,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,56,4892,120,9,1,1,Partner,3
7373,PhD,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,74,4873,302,17,0,2,Alone,3
8755,Postgraduate,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,80,4759,1196,18,0,0,Partner,2
10738,Postgraduate,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,75,4569,65,6,0,2,Alone,3
4339,PhD,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,56,4445,913,28,0,1,Partner,3
10755,Undergraduate,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,50,4565,81,9,0,1,Partner,3
8595,Graduate,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,53,4403,67,7,0,1,Alone,2
